name,ingredients,calories,isVegan,price
Beef Chili,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,750,FALSE,3.34
Vegan Lentil Soup,Ground beef-tomatoes-beans-onions-chili powder,170,FALSE,5.53
Vegetable Stir Fry,Hard-boiled eggs-mayo-mustard-celery-lettuce,140,FALSE,7.13
Roast Beef Sandwich,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,500,FALSE,3.64
Vegan Quinoa Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,130,FALSE,7.28
Beef Chili,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,300,FALSE,8.34
Chicken Caesar Wrap,Ground beef-tomatoes-beans-onions-chili powder,720,FALSE,9.34
Chicken Caesar Wrap,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,970,FALSE,2.57
Roast Beef Sandwich,Ground beef-tomatoes-beans-onions-chili powder,800,FALSE,6.62
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,200,FALSE,7.46
Chicken Caesar Wrap,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,260,FALSE,4.84
Chicken Caesar Wrap,Roast beef-whole grain bread-lettuce-tomato-mustard,380,FALSE,7.99
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,810,FALSE,0.23
Beef Chili,Grilled chicken-romaine lettuce-Caesar dressing-wrap,130,FALSE,3.60
Egg Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,110,FALSE,9.37
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,290,FALSE,1.43
Vegan Buddha Bowl,Ground beef-tomatoes-beans-onions-chili powder,390,FALSE,4.49
Egg Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,470,FALSE,7.00
Roast Beef Sandwich,Grilled chicken-lettuce-tomato-cucumber-dressing,970,FALSE,5.73
Egg Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,430,FALSE,9.33
Vegan Quinoa Salad,Ground beef-tomatoes-beans-onions-chili powder,890,FALSE,1.56
Vegan Buddha Bowl,Lentils-carrots-celery-onions-garlic-tomato,310,FALSE,0.54
Vegetable Stir Fry,Grilled chicken-romaine lettuce-Caesar dressing-wrap,870,FALSE,5.81
Egg Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,620,FALSE,3.32
Vegetable Stir Fry,Ground beef-tomatoes-beans-onions-chili powder,240,FALSE,0.98
Egg Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,830,FALSE,8.36
Vegetable Stir Fry,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,320,FALSE,8.99
Vegan Buddha Bowl,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,260,FALSE,0.59
Beef Chili,Ground beef-tomatoes-beans-onions-chili powder,590,FALSE,5.97
Roast Beef Sandwich,Lentils-carrots-celery-onions-garlic-tomato,360,FALSE,3.57
Chicken Caesar Wrap,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,780,FALSE,4.99
Vegetable Stir Fry,Grilled chicken-lettuce-tomato-cucumber-dressing,300,FALSE,0.51
Roast Beef Sandwich,Lentils-carrots-celery-onions-garlic-tomato,890,FALSE,9.44
Beef Chili,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,930,FALSE,4.44
Roast Beef Sandwich,Ground beef-tomatoes-beans-onions-chili powder,750,FALSE,9.88
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,820,FALSE,7.29
Egg Salad,Ground beef-tomatoes-beans-onions-chili powder,450,FALSE,5.35
Vegan Lentil Soup,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,460,FALSE,2.99
Vegan Buddha Bowl,Grilled chicken-romaine lettuce-Caesar dressing-wrap,740,FALSE,6.52
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,590,FALSE,6.76
Vegan Quinoa Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,980,FALSE,7.32
Vegetable Stir Fry,Grilled chicken-lettuce-tomato-cucumber-dressing,940,FALSE,4.07
Beef Chili,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,690,FALSE,4.20
Roast Beef Sandwich,Lentils-carrots-celery-onions-garlic-tomato,610,FALSE,7.18
Vegan Quinoa Salad,Ground beef-tomatoes-beans-onions-chili powder,300,FALSE,0.42
Roast Beef Sandwich,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,160,FALSE,5.35
Vegetable Stir Fry,Grilled chicken-romaine lettuce-Caesar dressing-wrap,360,FALSE,8.08
Roast Beef Sandwich,Lentils-carrots-celery-onions-garlic-tomato,890,FALSE,0.31
Vegan Quinoa Salad,Lentils-carrots-celery-onions-garlic-tomato,560,FALSE,1.46
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,940,FALSE,1.13
Beef Chili,Grilled chicken-romaine lettuce-Caesar dressing-wrap,740,FALSE,5.83
Vegetable Stir Fry,Lentils-carrots-celery-onions-garlic-tomato,160,FALSE,9.12
Vegan Quinoa Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,170,FALSE,0.27
Grilled Chicken Salad,Ground beef-tomatoes-beans-onions-chili powder,260,FALSE,3.46
Roast Beef Sandwich,Ground beef-tomatoes-beans-onions-chili powder,420,FALSE,7.35
Egg Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,310,FALSE,2.75
Chicken Caesar Wrap,Hard-boiled eggs-mayo-mustard-celery-lettuce,790,FALSE,6.83
Beef Chili,Hard-boiled eggs-mayo-mustard-celery-lettuce,370,FALSE,4.22
Vegan Buddha Bowl,Grilled chicken-romaine lettuce-Caesar dressing-wrap,970,FALSE,3.85
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,750,FALSE,7.75
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,600,FALSE,9.43
Roast Beef Sandwich,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,360,FALSE,1.03
Chicken Caesar Wrap,Hard-boiled eggs-mayo-mustard-celery-lettuce,140,FALSE,3.99
Grilled Chicken Salad,Lentils-carrots-celery-onions-garlic-tomato,350,FALSE,6.88
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,790,FALSE,4.84
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,670,FALSE,7.98
Vegan Quinoa Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,750,FALSE,8.13
Vegan Lentil Soup,Grilled chicken-romaine lettuce-Caesar dressing-wrap,900,FALSE,3.42
Grilled Chicken Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,760,FALSE,4.39
Beef Chili,Hard-boiled eggs-mayo-mustard-celery-lettuce,570,FALSE,9.15
Grilled Chicken Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,450,FALSE,6.70
Grilled Chicken Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,850,FALSE,9.11
Vegan Lentil Soup,Ground beef-tomatoes-beans-onions-chili powder,620,FALSE,9.30
Vegan Lentil Soup,Grilled chicken-lettuce-tomato-cucumber-dressing,860,FALSE,9.77
Chicken Caesar Wrap,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,990,FALSE,4.76
Roast Beef Sandwich,Ground beef-tomatoes-beans-onions-chili powder,630,FALSE,8.97
Chicken Caesar Wrap,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,470,FALSE,4.28
Egg Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,340,FALSE,4.57
Chicken Caesar Wrap,Grilled chicken-lettuce-tomato-cucumber-dressing,890,FALSE,3.09
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,870,FALSE,4.21
Egg Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,710,FALSE,1.09
Vegan Buddha Bowl,Grilled chicken-romaine lettuce-Caesar dressing-wrap,640,FALSE,7.74
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,600,FALSE,5.44
Vegan Lentil Soup,Grilled chicken-romaine lettuce-Caesar dressing-wrap,220,FALSE,7.73
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,450,FALSE,2.76
Vegan Lentil Soup,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,460,FALSE,2.29
Beef Chili,Grilled chicken-romaine lettuce-Caesar dressing-wrap,680,FALSE,2.65
Vegan Quinoa Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,680,FALSE,3.17
Vegan Lentil Soup,Ground beef-tomatoes-beans-onions-chili powder,710,FALSE,4.60
Vegan Lentil Soup,Ground beef-tomatoes-beans-onions-chili powder,430,FALSE,9.00
Vegan Lentil Soup,Grilled chicken-romaine lettuce-Caesar dressing-wrap,170,FALSE,7.15
Vegetable Stir Fry,Grilled chicken-lettuce-tomato-cucumber-dressing,360,FALSE,9.38
Beef Chili,Grilled chicken-romaine lettuce-Caesar dressing-wrap,150,FALSE,0.59
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,940,FALSE,7.09
Vegan Lentil Soup,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,360,FALSE,5.33
Beef Chili,Hard-boiled eggs-mayo-mustard-celery-lettuce,660,FALSE,7.03
Beef Chili,Roast beef-whole grain bread-lettuce-tomato-mustard,620,FALSE,2.01
Beef Chili,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,460,FALSE,8.95
Chicken Caesar Wrap,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,670,FALSE,1.06
Vegan Lentil Soup,Lentils-carrots-celery-onions-garlic-tomato,720,FALSE,3.13
Beef Chili,Lentils-carrots-celery-onions-garlic-tomato,570,FALSE,1.06
Vegan Buddha Bowl,Hard-boiled eggs-mayo-mustard-celery-lettuce,250,FALSE,1.58
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,510,FALSE,1.16
Vegetable Stir Fry,Ground beef-tomatoes-beans-onions-chili powder,110,FALSE,2.17
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,980,FALSE,3.48
Vegan Lentil Soup,Grilled chicken-romaine lettuce-Caesar dressing-wrap,750,FALSE,5.52
Beef Chili,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,620,FALSE,2.15
Chicken Caesar Wrap,Hard-boiled eggs-mayo-mustard-celery-lettuce,810,FALSE,9.69
Vegan Buddha Bowl,Grilled chicken-lettuce-tomato-cucumber-dressing,930,FALSE,2.85
Vegan Quinoa Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,890,FALSE,0.61
Beef Chili,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,520,FALSE,8.39
Chicken Caesar Wrap,Ground beef-tomatoes-beans-onions-chili powder,370,FALSE,5.18
Egg Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,950,FALSE,4.38
Roast Beef Sandwich,Roast beef-whole grain bread-lettuce-tomato-mustard,870,FALSE,4.29
Grilled Chicken Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,870,FALSE,3.48
Vegan Lentil Soup,Grilled chicken-lettuce-tomato-cucumber-dressing,540,FALSE,6.59
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,900,FALSE,7.21
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,110,FALSE,4.38
Beef Chili,Ground beef-tomatoes-beans-onions-chili powder,100,FALSE,0.46
Egg Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,300,FALSE,7.71
Grilled Chicken Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,860,FALSE,2.52
Vegan Buddha Bowl,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,770,FALSE,3.33
Vegan Quinoa Salad,Ground beef-tomatoes-beans-onions-chili powder,860,FALSE,1.54
Vegan Quinoa Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,260,FALSE,3.35
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,230,FALSE,9.37
Vegan Lentil Soup,Roast beef-whole grain bread-lettuce-tomato-mustard,970,FALSE,5.10
Grilled Chicken Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,490,FALSE,4.51
Vegan Quinoa Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,720,FALSE,4.34
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,810,FALSE,1.52
Chicken Caesar Wrap,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,410,FALSE,8.64
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,540,FALSE,1.67
Chicken Caesar Wrap,Grilled chicken-romaine lettuce-Caesar dressing-wrap,810,FALSE,5.97
Vegan Buddha Bowl,Grilled chicken-lettuce-tomato-cucumber-dressing,680,FALSE,5.91
Chicken Caesar Wrap,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,390,FALSE,4.78
Grilled Chicken Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,210,FALSE,6.51
Grilled Chicken Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,970,FALSE,9.06
Vegan Buddha Bowl,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,850,FALSE,8.43
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,640,FALSE,4.06
Vegan Quinoa Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,530,FALSE,4.94
Vegan Quinoa Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,340,FALSE,2.31
Grilled Chicken Salad,Roast beef-whole grain bread-lettuce-tomato-mustard,870,FALSE,2.81
Roast Beef Sandwich,Grilled chicken-romaine lettuce-Caesar dressing-wrap,890,FALSE,3.74
Beef Chili,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,230,FALSE,0.89
Chicken Caesar Wrap,Grilled chicken-lettuce-tomato-cucumber-dressing,880,FALSE,8.21
Vegan Quinoa Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,250,FALSE,6.54
Vegan Quinoa Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,870,FALSE,1.62
Roast Beef Sandwich,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,420,FALSE,0.42
Vegan Quinoa Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,610,FALSE,2.75
Beef Chili,Lentils-carrots-celery-onions-garlic-tomato,210,FALSE,1.34
Chicken Caesar Wrap,Roast beef-whole grain bread-lettuce-tomato-mustard,180,FALSE,2.49
Beef Chili,Ground beef-tomatoes-beans-onions-chili powder,170,FALSE,4.64
Roast Beef Sandwich,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,910,FALSE,0.50
Vegan Lentil Soup,Grilled chicken-lettuce-tomato-cucumber-dressing,640,FALSE,6.60
Vegetable Stir Fry,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,130,FALSE,1.09
Vegetable Stir Fry,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,270,FALSE,9.41
Egg Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,740,FALSE,2.90
Grilled Chicken Salad,Broccoli-carrots-bell peppers-tofu-soy sauce-ginger,210,FALSE,1.13
Vegan Lentil Soup,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,320,FALSE,1.64
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,750,FALSE,8.80
Egg Salad,Lentils-carrots-celery-onions-garlic-tomato,690,FALSE,7.16
Vegan Quinoa Salad,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,380,FALSE,2.39
Egg Salad,Grilled chicken-romaine lettuce-Caesar dressing-wrap,1000,FALSE,9.74
Egg Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,970,FALSE,0.39
Beef Chili,Grilled chicken-romaine lettuce-Caesar dressing-wrap,130,FALSE,7.42
Chicken Caesar Wrap,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,840,FALSE,2.73
Vegan Lentil Soup,Quinoa-spinach-cucumber-tomato-chickpeas-olive oil,350,FALSE,7.48
Egg Salad,Hard-boiled eggs-mayo-mustard-celery-lettuce,100,FALSE,2.33
Vegan Quinoa Salad,Grilled chicken-lettuce-tomato-cucumber-dressing,740,FALSE,7.52
Vegan Quinoa Salad,Quinoa-avocado-chickpeas-kale-sweet potatoes-tahini,760,FALSE,8.84
Vegetable Stir Fry,Grilled chicken-lettuce-tomato-cucumber-dressing,940,FALSE,5.98
